Mes,Nome_Mes,Ano,N,Media,DP,EP,IC_inf,IC_sup,Margem
10,Outubro,2023,2272,20.653169014084508,35.747923036193704,0.7499747652449634,19.182461655726076,22.12387637244294,1.4707073583584334
10,Outubro,2024,2598,19.193225558121632,36.60911868059405,0.7182401860154269,17.784844272600004,20.60160684364326,1.408381285521628
11,Novembro,2012,678,20.235988200589972,43.68532978288194,1.67772498292981,16.941818407388265,23.53015799379168,3.294169793201707
11,Novembro,2013,810,19.049382716049383,25.22840102755459,0.8864356552356096,17.309397590391033,20.789367841707733,1.7399851256583505
11,Novembro,2014,994,20.471830985915492,30.378274940922992,0.9635403721061097,18.581021906000885,22.3626400658301,1.8908090799146062
11,Novembro,2015,1012,20.802371541501977,26.825414126065535,0.8432496682471504,19.147651579355774,22.45709150364818,1.654719962146202
11,Novembro,2016,831,23.654632972322503,83.88113994306623,2.909804505479056,17.943192323385276,29.36607362125973,5.711440648937228
11,Novembro,2017,811,21.130702836004932,26.91601353408673,0.9451490690475786,19.275472543780968,22.985933128228897,1.8552302922239632
11,Novembro,2018,986,20.15922920892495,24.908359981514835,0.7932437813956372,18.6025872105743,21.715871207275597,1.556641998350651
11,Novembro,2019,1360,18.325,23.40349511327939,0.6346163636850476,17.080066025965436,19.569933974034562,1.2449339740345637
11,Novembro,2020,1399,17.11794138670479,21.23641600109749,0.5677699026101907,16.004168554802668,18.23171421860691,1.113772831902122
11,Novembro,2021,1533,19.107632093933464,30.227911909745,0.7720351441558078,17.59327460668644,20.62198958118049,1.5143574872470238
11,Novembro,2022,1463,20.600136705399862,33.05073287982806,0.8640899043966491,18.90514838161072,22.295125029189006,1.694988323789144
11,Novembro,2023,2217,18.811456923770862,27.266296000016773,0.5790863106194394,17.675848354846515,19.94706549269521,1.1356085689243474
11,Novembro,2024,2581,18.483533514141804,29.95053124358572,0.5895362678818041,17.327521341706444,19.639545686577165,1.1560121724353625
12,Dezembro,2012,1373,21.252731245447926,40.47631224503539,1.0923596984607535,19.109855183120978,23.395607307774874,2.14287606232695
12,Dezembro,2013,1599,21.8036272670419,36.403027860301734,0.9103602285440427,20.01800154666835,23.58925298741545,1.7856257203735495
12,Dezembro,2014,2032,19.936023622047244,38.93871311636373,0.8638130138022991,18.24197167379846,21.63007557029603,1.6940519482487846
12,Dezembro,2015,1985,21.117380352644837,49.70900021939094,1.115718856006326,18.929276711204146,23.305483994085527,2.1881036414406916
12,Dezembro,2016,1630,22.860736196319017,40.4075264454745,1.0008487788797593,20.89765006001868,24.823822332619354,1.9630861363003371
12,Dezembro,2017,1891,22.48439978847171,69.48529702416462,1.5978910119792702,19.3505840657891,25.618215511154318,3.1338157226826073
12,Dezembro,2018,2001,20.28285857071464,24.310326016417136,0.5434595673659294,19.217052391223305,21.348664750205977,1.0658061794913354
12,Dezembro,2019,2182,20.1205316223648,34.552336557309836,0.739690512228987,18.66995985906823,21.571103385661374,1.450571763296574
12,Dezembro,2020,2119,20.273714016045304,35.75746681976662,0.7767857787038587,18.750371336261612,21.797056695828996,1.5233426797836906
12,Dezembro,2021,2280,19.55438596491228,28.571851615823327,0.5983715858208998,18.380976021256362,20.7277959085682,1.173409943655919
12,Dezembro,2022,2048,21.56689453125,39.59942830096382,0.8750320088350625,19.850848643088973,23.282940419411027,1.7160458881610265
12,Dezembro,2023,2315,20.11231101511879,25.225575221626045,0.524282764316919,19.08419791760446,21.140424112633124,1.0281130975143336
12,Dezembro,2024,2561,19.929324482623976,34.3352054187107,0.6784765795619483,18.598905807179666,21.259743158068286,1.3304186754443104
