dt (s),tempo_final (s),v_final_num (m/s),v_final_analitico (m/s),erro_relativo
0.2910,2.6190,-299.5319,918.6728,1.3260
0.2920,2.6280,-303.0134,935.4478,1.3239
0.2930,2.6370,-306.5302,952.5274,1.3218
0.2940,2.6460,-310.0826,969.9172,1.3197
0.2950,2.6550,-313.6711,987.6229,1.3176
0.2960,2.6640,-317.2958,1005.6501,1.3155
0.2970,2.6730,-320.9571,1024.0048,1.3134
0.2980,2.6820,-324.6554,1042.6929,1.3114
0.2990,2.6910,-328.3909,1061.7204,1.3093
0.3000,2.7000,-332.1640,1081.0935,1.3072
0.3010,2.7090,-335.9751,1100.8184,1.3052
0.3020,2.7180,-339.8244,1120.9017,1.3032
0.3030,2.7270,-343.7123,1141.3497,1.3011
0.3040,2.7360,-347.6391,1162.1691,1.2991
0.3050,2.7450,-351.6051,1183.3666,1.2971
0.3060,2.7540,-355.6108,1204.9491,1.2951
0.3070,2.7630,-359.6565,1226.9237,1.2931
0.3080,2.7720,-363.7424,1249.2974,1.2912
0.3090,2.4720,-225.4869,683.4159,1.3299
0.3100,2.4800,-227.7750,694.5176,1.3280
0.3110,2.4880,-230.0831,705.7983,1.3260
0.3120,2.4960,-232.4111,717.2610,1.3240
0.3130,2.5040,-234.7593,728.9086,1.3221
0.3140,2.5120,-237.1278,740.7441,1.3201
0.3150,2.5200,-239.5167,752.7704,1.3182
0.3160,2.5280,-241.9263,764.9907,1.3162
0.3170,2.5360,-244.3566,777.4081,1.3143
0.3180,2.5440,-246.8079,790.0258,1.3124
0.3190,2.5520,-249.2802,802.8470,1.3105
0.3200,2.5600,-251.7737,815.8750,1.3086
0.3210,2.5680,-254.2886,829.1131,1.3067
0.3220,2.5760,-256.8250,842.5647,1.3048
0.3230,2.5840,-259.3831,856.2333,1.3029
0.3240,2.5920,-261.9631,870.1223,1.3011
0.3250,2.6000,-264.5651,884.2353,1.2992
0.3260,2.6080,-267.1892,898.5760,1.2973
0.3270,2.6160,-269.8357,913.1480,1.2955
0.3280,2.6240,-272.5047,927.9550,1.2937
0.3290,2.6320,-275.1964,943.0008,1.2918
0.3300,2.6400,-277.9108,958.2892,1.2900
0.3310,2.6480,-280.6483,973.8243,1.2882
0.3320,2.6560,-283.4089,989.6099,1.2864
0.3330,2.6640,-286.1928,1005.6501,1.2846
0.3340,2.6720,-289.0003,1021.9491,1.2828
0.3350,2.6800,-291.8314,1038.5109,1.2810
0.3360,2.6880,-294.6863,1055.3398,1.2792
0.3370,2.6960,-297.5652,1072.4401,1.2775
0.3380,2.7040,-300.4683,1089.8163,1.2757
0.3390,2.7120,-303.3958,1107.4727,1.2740
0.3400,2.7200,-306.3478,1125.4139,1.2722
0.3410,2.7280,-309.3245,1143.6445,1.2705
0.3420,2.7360,-312.3261,1162.1691,1.2687
0.3430,2.7440,-315.3527,1180.9924,1.2670
0.3440,2.7520,-318.4046,1200.1194,1.2653
0.3450,2.7600,-321.4818,1219.5549,1.2636
0.3460,2.7680,-324.5847,1239.3038,1.2619
0.3470,2.7760,-327.7134,1259.3712,1.2602
0.3480,2.7840,-330.8680,1279.7624,1.2585
0.3490,2.7920,-334.0488,1300.4823,1.2569
0.3500,2.8000,-337.2559,1321.5365,1.2552
0.3510,2.8080,-340.4895,1342.9303,1.2535
0.3520,2.8160,-343.7499,1364.6691,1.2519
0.3530,2.8240,-347.0371,1386.7585,1.2503
0.3540,2.8320,-350.3514,1409.2042,1.2486
0.3550,2.8400,-353.6930,1432.0120,1.2470
0.3560,2.8480,-357.0621,1455.1875,1.2454
0.3570,2.8560,-360.4588,1478.7369,1.2438
0.3580,2.8640,-363.8834,1502.6661,1.2422
0.3590,2.8720,-367.3361,1526.9812,1.2406
0.3600,2.8800,-370.8170,1551.6886,1.2390
0.3610,2.8880,-374.3263,1576.7944,1.2374
0.3620,2.8960,-377.8643,1602.3051,1.2358
0.3630,2.9040,-381.4311,1628.2273,1.2343
0.3640,2.9120,-385.0270,1654.5676,1.2327
0.3650,2.9200,-388.6522,1681.3327,1.2312
0.3660,2.9280,-392.3068,1708.5295,1.2296
0.3670,2.5690,-226.2922,830.7828,1.2724
0.3680,2.5760,-228.1654,842.5647,1.2708
0.3690,2.5830,-230.0515,854.5127,1.2692
0.3700,2.5900,-231.9507,866.6292,1.2676
0.3710,2.5970,-233.8630,878.9165,1.2661
0.3720,2.6040,-235.7885,891.3770,1.2645
0.3730,2.6110,-237.7273,904.0132,1.2630
0.3740,2.6180,-239.6795,916.8275,1.2614
0.3750,2.6250,-241.6452,929.8225,1.2599
0.3760,2.6320,-243.6244,943.0008,1.2584
0.3770,2.6390,-245.6172,956.3648,1.2568
0.3780,2.6460,-247.6236,969.9172,1.2553
0.3790,2.6530,-249.6438,983.6607,1.2538
0.3800,2.6600,-251.6779,997.5979,1.2523
0.3810,2.6670,-253.7259,1011.7317,1.2508
0.3820,2.6740,-255.7878,1026.0647,1.2493
0.3830,2.6810,-257.8639,1040.5998,1.2478
0.3840,2.6880,-259.9541,1055.3398,1.2463
0.3850,2.6950,-262.0585,1070.2876,1.2448
